    ,APT_GROUP                  ,USED_TECHNIQUES_ID
 82 ,menuPass (G0045)           ,"['T1087.002', 'T1583.001', 'T1560', 'T1560.001', 'T1119', 'T1059.001', 'T1059.003', 'T1005', 'T1039', 'T1074.001', 'T1074.002', 'T1140', 'T1568.001', 'T1190', 'T1210', 'T1083', 'T1574.001', 'T1574.002', 'T1070.003', 'T1070.004', 'T1105', 'T1056.001', 'T1036', 'T1036.003', 'T1036.005', 'T1106', 'T1046', 'T1027', 'T1588.002', 'T1003.002', 'T1003.003', 'T1003.004', 'T1566.001', 'T1055.012', 'T1090.002', 'T1021.001', 'T1021.004', 'T1018', 'T1053.005', 'T1553.002', 'T1218.004', 'T1016', 'T1049', 'T1199', 'T1204.002', 'T1078', 'T1047']"
 83 ,Molerats (G0021)           ,"['T1547.001', 'T1059.001', 'T1059.005', 'T1059.007', 'T1555.003', 'T1140', 'T1105', 'T1027', 'T1566.001', 'T1566.002', 'T1057', 'T1053.005', 'T1553.002', 'T1218.007', 'T1204.001', 'T1204.002']"
 84 ,Moses Staff (G1009)        ,"['T1087.001', 'T1587.001', 'T1190', 'T1562.004', 'T1105', 'T1027', 'T1588.002', 'T1021.002', 'T1505.003', 'T1553.002', 'T1082', 'T1016']"
 85 ,Metador (G1013)            ,"['T1071.001', 'T1059.003', 'T1546.003', 'T1070.004', 'T1105', 'T1095', 'T1027', 'T1588.001', 'T1588.002']"
 86 ,Moafee (G0002)             ,['T1027.001']
 87 ,Mustang Panda (G0129)      ,"['T1583.001', 'T1071.001', 'T1560.001', 'T1560.003', 'T1119', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1074.001', 'T1573.001', 'T1585.002', 'T1546.003', 'T1052.001', 'T1203', 'T1083', 'T1564.001', 'T1574.002', 'T1070.004', 'T1105', 'T1036.005', 'T1036.007', 'T1027', 'T1027.001', 'T1003.003', 'T1566.001', 'T1566.002', 'T1598.003', 'T1057', 'T1219', 'T1091', 'T1053.005', 'T1518', 'T1608', 'T1608.001', 'T1218.004', 'T1218.005', 'T1082', 'T1016', 'T1049', 'T1204.001', 'T1204.002', 'T1102', 'T1047']"
 88 ,Mofang (G0103)             ,"['T1027', 'T1566.001', 'T1566.002', 'T1204.001', 'T1204.002']"
 89 ,MoustachedBouncer (G1019)  ,"['T1059.001', 'T1059.007', 'T1659', 'T1074.002', 'T1068', 'T1027.002', 'T1090', 'T1113']"
 90 ,MuddyWater (G0069)         ,"['T1548.002', 'T1087.002', 'T1583.006', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.006', 'T1059.007', 'T1555', 'T1555.003', 'T1132.001', 'T1074.001', 'T1140', 'T1573.001', 'T1041', 'T1190', 'T1203', 'T1210', 'T1083', 'T1589.002', 'T1574.002', 'T1562.001', 'T1105', 'T1559.001', 'T1559.002', 'T1036.005', 'T1104', 'T1027.003', 'T1027.004', 'T1027.010', 'T1588.002', 'T1137.001', 'T1003.001', 'T1003.004', 'T1003.005', 'T1566.001', 'T1566.002', 'T1057', 'T1090.002', 'T1219', 'T1053.005', 'T1113', 'T1518', 'T1518.001', 'T1218.003', 'T1218.005', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1552.001', 'T1204.001', 'T1204.002', 'T1102.002', 'T1047']"
 91 ,Orangeworm (G0071)         ,"['T1071.001', 'T1021.002']"
 92 ,Naikon (G0019)             ,"['T1547.001', 'T1574.002', 'T1036.004', 'T1036.005', 'T1046', 'T1137.006', 'T1566.001', 'T1018', 'T1053.005', 'T1518.001', 'T1016', 'T1204.002', 'T1078.002', 'T1047']"
 93 ,Nomadic Octopus (G0133)    ,"['T1059.001', 'T1059.003', 'T1564.003', 'T1105', 'T1036', 'T1566.001', 'T1204.002']"
 94 ,PLATINUM (G0068)           ,"['T1189', 'T1068', 'T1105', 'T1056.001', 'T1056.004', 'T1036', 'T1095', 'T1003.001', 'T1566.001', 'T1055', 'T1204.002']"
 95 ,POLONIUM (G1005)           ,"['T1583.006', 'T1567.002', 'T1588.002', 'T1090', 'T1199', 'T1078', 'T1102.002']"
 96 ,OilRig (G0049)             ,"['T1087.001', 'T1087.002', 'T1071.001', 'T1071.004', 'T1119', 'T1110', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1555', 'T1555.003', 'T1555.004', 'T1140', 'T1573.002', 'T1048.003', 'T1133', 'T1008', 'T1070.004', 'T1105', 'T1056.001', 'T1036', 'T1046', 'T1027', 'T1027.005', 'T1137.004', 'T1003.001', 'T1003.004', 'T1003.005', 'T1201', 'T1120', 'T1069.001', 'T1069.002', 'T1566.001', 'T1566.002', 'T1566.003', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1021.004', 'T1053.005', 'T1113', 'T1505.003', 'T1218.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1552.001', 'T1204.001', 'T1204.002', 'T1078', 'T1497.001', 'T1047']"
 97 ,Patchwork (G0040)          ,"['T1548.002', 'T1560', 'T1119', 'T1197', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1555.003', 'T1132.001', 'T1005', 'T1074.001', 'T1587.002', 'T1189', 'T1203', 'T1083', 'T1574.002', 'T1070.004', 'T1105', 'T1559.002', 'T1036.005', 'T1112', 'T1027.001', 'T1027.002', 'T1027.005', 'T1027.010', 'T1588.002', 'T1566.001', 'T1566.002', 'T1598.003', 'T1055.012', 'T1021.001', 'T1053.005', 'T1518.001', 'T1553.002', 'T1082', 'T1033', 'T1204.001', 'T1204.002', 'T1102.001']"
 98 ,PittyTiger (G0011)         ,"['T1588.002', 'T1078']"
 99 ,Poseidon Group (G0033)     ,"['T1087.001', 'T1087.002', 'T1059.001', 'T1036.005', 'T1003', 'T1057', 'T1049', 'T1007']"
100 ,Putter Panda (G0024)       ,"['T1547.001', 'T1562.001', 'T1027', 'T1055.001']"
101 ,RTM (G0048)                ,"['T1547.001', 'T1189', 'T1574.001', 'T1566.001', 'T1219', 'T1204.002', 'T1102.001']"
102 ,PROMETHIUM (G0056)         ,"['T1547.001', 'T1543.003', 'T1587.002', 'T1587.003', 'T1189', 'T1036.004', 'T1036.005', 'T1553.002', 'T1205.001', 'T1204.002', 'T1078.003']"
103 ,Rancor (G0075)             ,"['T1071.001', 'T1059.003', 'T1059.005', 'T1105', 'T1566.001', 'T1053.005', 'T1218.007', 'T1204.002']"
104 ,SideCopy (G1008)           ,"['T1059.005', 'T1584.001', 'T1574.002', 'T1105', 'T1036.005', 'T1106', 'T1566.001', 'T1598.002', 'T1518', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1614', 'T1016', 'T1204.002']"
105 ,Scarlet Mimic (G0029)      ,['T1036.002']
106 ,Rocke (G0106)              ,"['T1071', 'T1071.001', 'T1547.001', 'T1037', 'T1059.004', 'T1059.006', 'T1543.002', 'T1140', 'T1190', 'T1222.002', 'T1564.001', 'T1574.006', 'T1562.001', 'T1562.004', 'T1070.002', 'T1070.004', 'T1070.006', 'T1105', 'T1036.005', 'T1046', 'T1571', 'T1027', 'T1027.002', 'T1027.004', 'T1057', 'T1055.002', 'T1021.004', 'T1018', 'T1496', 'T1014', 'T1053.003', 'T1518.001', 'T1082', 'T1552.004', 'T1102', 'T1102.001']"
107 ,Scattered Spider (G1015)   ,"['T1087.003', 'T1087.004', 'T1098.001', 'T1098.003', 'T1098.005', 'T1530', 'T1213.002', 'T1190', 'T1068', 'T1133', 'T1589.001', 'T1656', 'T1105', 'T1578.002', 'T1621', 'T1046', 'T1588.002', 'T1003.006', 'T1069.003', 'T1566.004', 'T1598', 'T1598.001', 'T1598.004', 'T1572', 'T1090', 'T1219', 'T1021.007', 'T1553.002', 'T1078.004', 'T1102', 'T1047']"
108 ,Sidewinder (G0121)         ,"['T1071.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1059.005', 'T1059.007', 'T1074.001', 'T1203', 'T1083', 'T1574.002', 'T1105', 'T1559.002', 'T1036.005', 'T1027', 'T1027.010', 'T1566.001', 'T1566.002', 'T1598.002', 'T1598.003', 'T1057', 'T1518', 'T1518.001', 'T1218.005', 'T1082', 'T1016', 'T1033', 'T1124', 'T1204.001', 'T1204.002']"
109 ,Silence (G0091)            ,"['T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1070.004', 'T1105', 'T1036.005', 'T1112', 'T1106', 'T1571', 'T1027.010', 'T1588.002', 'T1003.001', 'T1566.001', 'T1055', 'T1090.002', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1072', 'T1553.002', 'T1218.001', 'T1569.002', 'T1204.002', 'T1078', 'T1125']"
110 ,Silent Librarian (G0122)   ,"['T1583.001', 'T1110.003', 'T1114', 'T1114.003', 'T1585.002', 'T1589.002', 'T1589.003', 'T1588.002', 'T1588.004', 'T1598.003', 'T1594', 'T1608.005', 'T1078']"
111 ,SilverTerrier (G0083)      ,"['T1071.001', 'T1071.002', 'T1071.003', 'T1657']"
112 ,Suckfly (G0039)            ,"['T1059.003', 'T1046', 'T1003', 'T1553.002', 'T1078']"
113 ,Sowbug (G0054)             ,"['T1560.001', 'T1059.003', 'T1039', 'T1083', 'T1056.001', 'T1036.005', 'T1135', 'T1003', 'T1082']"
114 ,Stealth Falcon (G0038)     ,"['T1071.001', 'T1059', 'T1059.001', 'T1555', 'T1555.003', 'T1555.004', 'T1005', 'T1573.001', 'T1041', 'T1057', 'T1012', 'T1053.005', 'T1082', 'T1016', 'T1033', 'T1047']"
115 ,Strider (G0041)            ,"['T1564.005', 'T1556.002', 'T1090.001']"
116 ,TA2541 (G1018)             ,"['T1583.001', 'T1583.006', 'T1547.001', 'T1059.001', 'T1059.005', 'T1568', 'T1573.002', 'T1562.001', 'T1105', 'T1036.005', 'T1027', 'T1027.002', 'T1588.001', 'T1588.002', 'T1566.001', 'T1566.002', 'T1055', 'T1055.012', 'T1053.005', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1016.001', 'T1204.001', 'T1204.002', 'T1047']"
117 ,TA459 (G0062)              ,"['T1059.001', 'T1059.005', 'T1203', 'T1566.001', 'T1204.002']"
118 ,TA505 (G0092)              ,"['T1087.003', 'T1583.001', 'T1071.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1555.003', 'T1486', 'T1140', 'T1568.001', 'T1562.001', 'T1105', 'T1559.002', 'T1112', 'T1106', 'T1027', 'T1027.002', 'T1027.010', 'T1588.001', 'T1588.002', 'T1069', 'T1566.001', 'T1566.002', 'T1055.001', 'T1608.001', 'T1553.002', 'T1553.005', 'T1218.007', 'T1218.011', 'T1552.001', 'T1204.001', 'T1204.002', 'T1078.002']"
119 ,TA551 (G0127)              ,"['T1071.001', 'T1059.003', 'T1132.001', 'T1568.002', 'T1589.002', 'T1105', 'T1036', 'T1027.003', 'T1027.010', 'T1566.001', 'T1218.005', 'T1218.010', 'T1218.011', 'T1204.002']"
120 ,TeamTNT (G0139)            ,"['T1098.004', 'T1583.001', 'T1595.001', 'T1595.002', 'T1071', 'T1071.001', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.004', 'T1059.009', 'T1609', 'T1613', 'T1136.001', 'T1543.002', 'T1543.003', 'T1074.001', 'T1140', 'T1610', 'T1587.001', 'T1611', 'T1048', 'T1133', 'T1083', 'T1222.002', 'T1562.001', 'T1562.004', 'T1070.002', 'T1070.003', 'T1070.004', 'T1105', 'T1036', 'T1036.005', 'T1046', 'T1027', 'T1027.002', 'T1120', 'T1057', 'T1219', 'T1021.004', 'T1496', 'T1014', 'T1518.001', 'T1608.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1569', 'T1552.001', 'T1552.004', 'T1552.005', 'T1204.003', 'T1102']"
121 ,TEMP.Veles (G0088)         ,"['T1583.003', 'T1059.001', 'T1074.001', 'T1546.012', 'T1133', 'T1070.004', 'T1070.006', 'T1036.005', 'T1571', 'T1027.005', 'T1588.002', 'T1003.001', 'T1021.001', 'T1021.004', 'T1053.005', 'T1505.003', 'T1078']"
122 ,The White Company (G0089)  ,"['T1203', 'T1070.004', 'T1027.002', 'T1566.001', 'T1518.001', 'T1124', 'T1204.002']"
123 ,Threat Group-1314 (G0028)  ,"['T1059.003', 'T1021.002', 'T1072', 'T1078.002']"
124 ,Thrip (G0076)              ,"['T1059.001', 'T1048.003', 'T1588.002', 'T1219']"
125 ,Threat Group-3390 (G0027)  ,"['T1548.002', 'T1087.001', 'T1583.001', 'T1071.001', 'T1560.002', 'T1119', 'T1547.001', 'T1059.001', 'T1059.003', 'T1543.003', 'T1555.005', 'T1005', 'T1074.001', 'T1074.002', 'T1030', 'T1140', 'T1189', 'T1567.002', 'T1190', 'T1203', 'T1068', 'T1210', 'T1133', 'T1574.001', 'T1574.002', 'T1562.002', 'T1070.004', 'T1070.005', 'T1105', 'T1056.001', 'T1112', 'T1046', 'T1027', 'T1027.002', 'T1588.002', 'T1588.003', 'T1003.001', 'T1003.002', 'T1003.004', 'T1566.001', 'T1055.012', 'T1012', 'T1021.006', 'T1018', 'T1053.002', 'T1505.003', 'T1608.001', 'T1608.002', 'T1608.004', 'T1195.002', 'T1016', 'T1049', 'T1033', 'T1199', 'T1204.002', 'T1078', 'T1047']"
126 ,Tonto Team (G0131)         ,"['T1059.001', 'T1059.006', 'T1203', 'T1068', 'T1210', 'T1574.001', 'T1105', 'T1056.001', 'T1135', 'T1003', 'T1069.001', 'T1566.001', 'T1090.002', 'T1505.003', 'T1204.002']"
127 ,Turla (G0010)              ,"['T1134.002', 'T1087.001', 'T1087.002', 'T1583.006', 'T1071.001', 'T1071.003', 'T1560.001', 'T1547.001', 'T1547.004', 'T1110', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.006', 'T1059.007', 'T1584.003', 'T1584.004', 'T1584.006', 'T1555.004', 'T1213', 'T1005', 'T1025', 'T1140', 'T1587.001', 'T1189', 'T1546.003', 'T1546.013', 'T1567.002', 'T1068', 'T1083', 'T1615', 'T1562.001', 'T1105', 'T1570', 'T1112', 'T1106', 'T1027.005', 'T1027.010', 'T1027.011', 'T1588.001', 'T1588.002', 'T1201', 'T1120', 'T1069.001', 'T1069.002', 'T1566.002', 'T1057', 'T1055', 'T1055.001', 'T1090', 'T1090.001', 'T1012', 'T1021.002', 'T1018', 'T1518.001', 'T1553.006', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1007', 'T1124', 'T1204.001', 'T1078.003', 'T1102', 'T1102.002']"
128 ,Transparent Tribe (G0134)  ,"['T1583.001', 'T1059.005', 'T1584.001', 'T1587.003', 'T1189', 'T1568', 'T1203', 'T1564.001', 'T1036.005', 'T1027', 'T1566.001', 'T1566.002', 'T1608.001', 'T1608.004', 'T1204.001', 'T1204.002']"
129 ,Volatile Cedar (G0123)     ,"['T1595.002', 'T1595.003', 'T1190', 'T1105', 'T1505.003']"
130 ,Tropic Trooper (G0081)     ,"['T1071.001', 'T1071.004', 'T1119', 'T1020', 'T1547.001', 'T1547.004', 'T1059.003', 'T1543.003', 'T1132.001', 'T1140', 'T1573', 'T1573.002', 'T1052.001', 'T1203', 'T1083', 'T1564.001', 'T1574.002', 'T1070.004', 'T1105', 'T1036.005', 'T1106', 'T1046', 'T1135', 'T1027', 'T1027.003', 'T1566.001', 'T1057', 'T1055.001', 'T1091', 'T1505.003', 'T1518', 'T1518.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1221', 'T1204.002', 'T1078.003']"
131 ,Windigo (G0124)            ,"['T1059', 'T1005', 'T1189', 'T1083', 'T1090', 'T1518', 'T1082']"
132 ,Whitefly (G0107)           ,"['T1059', 'T1068', 'T1574.001', 'T1105', 'T1036.005', 'T1027', 'T1588.002', 'T1003.001', 'T1204.002']"
133 ,Winnti Group (G0044)       ,"['T1583.001', 'T1083', 'T1105', 'T1057', 'T1014', 'T1553.002']"
134 ,Windshift (G0112)          ,"['T1071.001', 'T1547.001', 'T1059.005', 'T1189', 'T1105', 'T1036', 'T1036.001', 'T1027', 'T1566.001', 'T1566.002', 'T1566.003', 'T1057', 'T1518', 'T1518.001', 'T1082', 'T1033', 'T1204.001', 'T1204.002', 'T1047']"
135 ,Wizard Spider (G0102)      ,"['T1087.002', 'T1557.001', 'T1071.001', 'T1560.001', 'T1197', 'T1547.001', 'T1547.004', 'T1059.001', 'T1059.003', 'T1136.001', 'T1136.002', 'T1543.003', 'T1555.004', 'T1005', 'T1074', 'T1074.001', 'T1585.002', 'T1048.003', 'T1041', 'T1567.002', 'T1210', 'T1133', 'T1222.001', 'T1562.001', 'T1070.004', 'T1105', 'T1490', 'T1570', 'T1036.004', 'T1112', 'T1135', 'T1027.010', 'T1588.002', 'T1588.003', 'T1003.001', 'T1003.002', 'T1003.003', 'T1566.001', 'T1566.002', 'T1055', 'T1055.001', 'T1021', 'T1021.001', 'T1021.002', 'T1021.006', 'T1018', 'T1053.005', 'T1489', 'T1518', 'T1518.001', 'T1558.003', 'T1553.002', 'T1218.011', 'T1082', 'T1016', 'T1033', 'T1569.002', 'T1552.006', 'T1550.002', 'T1204.001', 'T1204.002', 'T1078', 'T1078.002', 'T1047']"
136 ,Volt Typhoon (G1017)       ,"['T1087.002', 'T1560.001', 'T1059.001', 'T1059.003', 'T1584.004', 'T1584.005', 'T1555', 'T1005', 'T1074', 'T1074.001', 'T1573.001', 'T1190', 'T1070.004', 'T1070.007', 'T1570', 'T1654', 'T1036.005', 'T1036.008', 'T1588.002', 'T1003.001', 'T1003.003', 'T1069.001', 'T1069.002', 'T1057', 'T1090', 'T1090.001', 'T1012', 'T1018', 'T1505.003', 'T1518', 'T1082', 'T1016', 'T1049', 'T1033', 'T1078.002', 'T1497.001', 'T1047']"
137 ,WIRTE (G0090)              ,"['T1071.001', 'T1059.001', 'T1059.005', 'T1140', 'T1105', 'T1036.005', 'T1571', 'T1588.002', 'T1566.001', 'T1218.010', 'T1204.002']"
138 ,ZIRCONIUM (G0128)          ,"['T1583.001', 'T1583.006', 'T1547.001', 'T1059.003', 'T1059.006', 'T1555.003', 'T1140', 'T1573.001', 'T1041', 'T1567.002', 'T1068', 'T1105', 'T1036', 'T1036.004', 'T1027.002', 'T1566.002', 'T1598', 'T1598.003', 'T1012', 'T1218.007', 'T1082', 'T1016', 'T1033', 'T1124', 'T1204.001', 'T1102.002']"
